calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
28,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307211,3072
28,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307212,3072
28,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307213,3072
28,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307214,3072
28,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307315,3073
29,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307316,3073
29,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307317,3073
29,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307318,3073
29,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307319,3073
29,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307320,3073
29,29,20003073,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307321,3073
29,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307422,3074
30,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307423,3074
30,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307424,3074
30,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307425,3074
30,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307426,3074
30,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307427,3074
30,30,20003074,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307428,3074
30,31,20003075,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307529,3075
31,31,20003075,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307530,3075
31,31,20003075,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307531,3075
31,31,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308101,3081
31,31,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308102,3081
31,31,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308103,3081
31,31,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308104,3081
31,32,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308105,3081
32,32,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308106,3081
32,32,20003081,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308107,3081
32,32,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308208,3082
32,32,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308209,3082
32,32,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308210,3082
32,32,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308211,3082
32,33,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308212,3082
33,33,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308213,3082
33,33,20003082,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308214,3082
33,33,20003083,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308315,3083
33,33,20003083,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308316,3083
33,33,20003083,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308317,3083
33,33,20003083,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308318,3083
33,34,20003083,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308319,3083
34,34,20003083,8,August,2,8/2000,"August, 2000",2000308,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308320,3083
34,34,20003083,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308321,3083
34,34,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308422,3084
34,34,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308423,3084
34,34,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308424,3084
34,34,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308425,3084
34,35,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308426,3084
35,35,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308427,3084
35,35,20003084,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308428,3084
35,35,20003085,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308529,3085
35,35,20003085,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308530,3085
35,35,20003085,8,August,2,8/2000,"August, 2000",2000308,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308531,3085
35,35,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309101,3091
35,36,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309102,3091
36,36,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309103,3091
36,36,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309104,3091
36,36,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309105,3091
36,36,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309106,3091
36,36,20003091,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309107,3091
36,36,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309208,3092
36,37,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309209,3092
37,37,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309210,3092
37,37,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309211,3092
37,37,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309212,3092
37,37,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309213,3092
37,37,20003092,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309214,3092
37,37,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309315,3093
37,38,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309316,3093
38,38,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309317,3093
38,38,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309318,3093
38,38,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309319,3093
38,38,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309320,3093
38,38,20003093,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309321,3093
38,38,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309422,3094
38,39,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309423,3094
39,39,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309424,3094
39,39,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309425,3094
39,39,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309426,3094
39,39,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309427,3094
39,39,20003094,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309428,3094
39,39,20003095,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309529,3095
39,40,20003095,9,September,3,9/2000,"September, 2000",2000309,404,20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309530,3095
40,40,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410101,4101
40,40,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410102,4101
40,40,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410103,4101
40,40,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410104,4101
40,40,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410105,4101
40,40,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410106,4101
40,41,20004101,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410107,4101
41,41,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410208,4102
41,41,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410209,4102
41,41,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410210,4102
41,41,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410211,4102
41,41,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410212,4102
41,41,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410213,4102
41,42,20004102,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410214,4102
42,42,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410315,4103
42,42,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410316,4103
42,42,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410317,4103
42,42,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410318,4103
42,42,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410319,4103
42,42,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410320,4103
42,43,20004103,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410321,4103
43,43,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410422,4104
43,43,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410423,4104
43,43,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410424,4104
43,43,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410425,4104
43,43,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410426,4104
43,43,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410427,4104
43,44,20004104,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410428,4104
44,44,20004105,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410529,4105
44,44,20004105,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410530,4105
44,44,20004105,10,October,1,10/2000,"October, 2000",2000410,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410531,4105
44,44,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411101,4111
44,44,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411102,4111
44,44,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411103,4111
44,45,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411104,4111
45,45,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411105,4111
45,45,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411106,4111
45,45,20004111,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411107,4111
45,45,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411208,4112
45,45,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411209,4112
45,45,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411210,4112
45,46,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411211,4112
46,46,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411212,4112
46,46,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411213,4112
46,46,20004112,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411214,4112
46,46,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411315,4113
46,46,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411316,4113
46,46,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411317,4113
46,47,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411318,4113
47,47,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411319,4113
47,47,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411320,4113
47,47,20004113,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411321,4113
47,47,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411422,4114
47,47,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411423,4114
47,47,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411424,4114
47,48,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411425,4114
48,48,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411426,4114
48,48,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411427,4114
48,48,20004114,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411428,4114
48,48,20004115,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411529,4115
48,48,20004115,11,November,2,11/2000,"November, 2000",2000411,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411530,4115
48,48,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412101,4121
48,49,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412102,4121
49,49,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412103,4121
49,49,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412104,4121
49,49,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412105,4121
49,49,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412106,4121
49,49,20004121,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412107,4121
49,49,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412208,4122
49,50,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412209,4122
50,50,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412210,4122
50,50,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412211,4122
50,50,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412212,4122
50,50,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412213,4122
50,50,20004122,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412214,4122
50,50,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412315,4123
50,51,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412316,4123
51,51,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412317,4123
51,51,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412318,4123
51,51,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412319,4123
51,51,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412320,4123
51,51,20004123,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412321,4123
51,51,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412422,4124
51,52,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412423,4124
52,52,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412424,4124
52,52,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412425,4124
52,52,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412426,4124
52,52,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412427,4124
52,52,20004124,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412428,4124
52,52,20004125,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412529,4125
52,53,20004125,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412530,4125
53,53,20004125,12,December,3,12/2000,"December, 2000",2000412,404,20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412531,4125
0,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101101,1011
0,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101102,1011
0,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101103,1011
0,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101104,1011
0,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101105,1011
0,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101106,1011
1,1,20011011,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101107,1011
1,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101208,1012
1,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101209,1012
1,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101210,1012
1,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101211,1012
1,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101212,1012
1,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101213,1012
2,2,20011012,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101214,1012
2,3,20011013,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101315,1013
2,3,20011013,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101316,1013
2,3,20011013,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101317,1013
2,3,20011013,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101318,1013
2,3,20011013,1,January,1,1/2001,"January, 2001",2001101,405,20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101319,1013
